Time,Latitude,Longitude,Altitude,Condutivity,DissolvedOxygen,RedoxPotential,Temperature,pH
1572037343.0,-32.07404215,-52.16505585,17.2451440812,299.700012207,25.5599994659,172.600006104,27.9050006866,10.7910003662
1572037348.0,-32.07402965,-52.1650228,17.2600754387,298.100006104,25.2900009155,173.600006104,27.8910007477,10.7729997635
1572037353.0,-32.074015,-52.16500055,17.2600064556,299.5,24.9699993134,173.5,27.7560005188,10.7349996567
1572037358.5,-32.073987,-52.16500435,17.2700116977,300.899993896,25.0799999237,173.899993896,27.7420005798,10.8380002975
1572037364.0,-32.0739623,-52.16498905,17.1149854866,301.100006104,25.6100006104,174.399993896,27.7420005798,10.8629999161
1572037369.0,-32.0739579,-52.16495765,17.1298922407,300.799987793,25.8999996185,173.899993896,27.7350006104,10.8470001221
1572037374.0,-32.07394815,-52.16492215,17.1798098612,298.0,26.1700000763,173.899993896,27.607000351,10.8229999542
1572037379.0,-32.0739342,-52.1648925,17.2996941186,298.399993896,25.8299999237,174.300003052,27.6060009003,10.779999733
1572037385.0,-32.0739022,-52.1648867,17.3046687026,301.100006104,25.8799991608,174.0,27.6000003815,10.8129997253
1572037390.0,-32.0738715,-52.1648936,17.2396807947,303.0,26.6800003052,173.699996948,27.5939998627,10.8660001755
1572037395.0,-32.07384025,-52.16490515,17.1496982175,303.5,27.3999996185,172.5,27.6130008698,10.9040002823
1572037400.0,-32.07381335,-52.1649251,16.9647403618,303.299987793,27.6800003052,172.699996948,27.6170005798,10.920999527
1572037405.5,-32.0738041,-52.16494925,16.9298051566,303.299987793,27.8700008392,173.199996948,27.7779998779,10.9280004501
1572037411.0,-32.07382585,-52.16496145,17.0348493874,302.600006104,27.7099990845,173.699996948,27.7569999695,10.9200000763
1572037417.0,-32.0738551,-52.16498,17.0099039492,303.799987793,27.6800003052,173.300003052,27.6100006104,10.9309997559
1572037421.0,-32.0738741,-52.1649984,16.9799594012,303.5,27.7299995422,172.100006104,27.7619991302,10.9420003891
1572037426.0,-32.07388925,-52.1650251,16.7850432247,303.299987793,27.8799991608,172.699996948,27.7520008087,10.9270000458
1572037432.0,-32.0739091,-52.1650619,16.9201303406,303.299987793,27.7700004578,171.699996948,27.7250003815,10.9270000458
